SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,rowguid,ModifiedDate
62820,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62820,,10-4030-024382,24382,,9,24322,24322,1,6435.0,1217485Vi33401,10710.0,143.78,11.5024,3.5945,158.8769,C11DCEFF-DC62-4A80-941C-704126399925,2025-01-01
62821,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62821,,10-4030-025110,25110,,9,19520,19520,1,14469.0,817817Vi75051,10710.0,39.98,3.1984,0.9995,44.1779,906E03CA-A568-4A1C-95C8-9D2F22FBDE65,2025-01-01
62822,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62822,,10-4030-011753,11753,,9,23375,23375,1,16244.0,418335Vi84008,10710.0,9.99,0.7992,0.2498,11.039,C62647BE-F66E-4761-80A2-BF9DEDD80856,2025-01-01
62823,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62823,,10-4030-013983,13983,,9,24813,24813,1,5462.0,118571Vi28617,10710.0,34.99,2.7992,0.8748,38.664,B2165510-A954-4B1D-80A9-3602D777F1DF,2025-01-01
62824,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62824,,10-4030-014233,14233,,9,26068,26068,1,14372.0,318636Vi74500,10710.0,49.99,3.9992,1.2498,55.239,0EA481F9-32F9-4011-8C26-2631C1D684D5,2025-01-01
62825,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62825,,10-4030-016442,16442,,8,25367,25367,1,9324.0,419740Vi48071,,2479.94,198.3952,61.9985,2740.3337,D5CFD9E0-2923-4346-9B06-C0F8A0F8D640,2025-01-01
62826,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62826,,10-4030-015625,15625,,8,23680,23680,1,6847.0,1020349Vi35688,,2341.97,187.3576,58.5493,2587.8769,F1EEBA97-8BEB-4E3F-AD9F-57AC05C84A7A,2025-01-01
62827,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62827,,10-4030-013557,13557,,10,26677,26677,1,7334.0,420373Vi38057,10715.0,2371.96,189.7568,59.299,2621.0158,377560AA-BF31-43C7-B74C-63C1B6D15F37,2025-01-01
62828,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62828,,10-4030-015623,15623,,7,25220,25220,1,1440.0,620377Vi7387,,2405.47,192.4376,60.1368,2658.0444,494F1C60-63DC-48C5-AE74-9380D2E51212,2025-01-01
62829,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62829,,10-4030-011520,11520,,6,18281,18281,1,17652.0,1120569Vi91607,10712.0,62.98,5.0384,1.5745,69.5929,D8779526-DAF6-4469-8A6C-D14894588554,2025-01-01
62830,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62830,,10-4030-011024,11024,,4,25929,25929,1,6904.0,620805Vi35966,,14.23,1.1384,0.3558,15.7242,564599F5-623E-4410-98BA-6BEFBB63937C,2025-01-01
62831,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62831,,10-4030-011619,11619,,6,19459,19459,1,16780.0,420999Vi86906,10712.0,31.27,2.5016,0.7818,34.5534,65CC5B6E-9103-4EFF-B772-F932DE235816,2025-01-01
62832,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62832,,10-4030-028236,28236,,4,16537,16537,1,5109.0,1121412Vi26743,,60.47,4.8376,1.5118,66.8194,1B0C395B-9620-467C-9EB1-FF0B7B16F388,2025-01-01
62833,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62833,,10-4030-026636,26636,,1,13138,13138,1,6776.0,121451Vi35294,,36.27,2.9016,0.9068,40.0784,94C33D24-C66A-4E41-B47C-23F8C7F09686,2025-01-01
62834,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62834,,10-4030-011276,11276,,6,24521,24521,1,1246.0,321989Vi6323,10712.0,25.48,2.0384,0.637,28.1554,9CB633A7-A130-4184-B060-045C6A47F0C0,2025-01-01
62835,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62835,,10-4030-027290,27290,,1,13715,13715,1,4429.0,522164Vi23274,,28.99,2.3192,0.7248,32.034,4EDCAD13-CCF3-42B8-8918-801F1ED7EAA9,2025-01-01
62836,10,2024-12-25 00:00:00,2025-01-06 00:00:00,2025-01-01 00:00:00,5,1,SO62836,,10-4030-025894,25894,,4,15578,15578,1,14510.0,322289Vi75255,,49.48,3.9584,1.237,54.6754,BB4D8DB0-9B9A-4BC6-9961-29D0B610C176,2025-01-01
